char_name,char_id,char_level,char_class,last_login,date_diff,active_30_days,active_60_days
beardzdk,203791547,70,6,2023-11-03 13:44:45,-1 days +12:52:17.249388,True,True
beardzz,203426723,70,2,2023-11-03 11:23:32,-1 days +10:31:04.249388,True,True
beheadme,202008718,70,1,2023-10-26 09:53:05,-9 days +09:00:37.249388,True,True
blessedthot,202005152,70,2,2023-11-01 09:56:06,-3 days +09:03:38.249388,True,True
brakyn,177892243,70,3,2023-10-27 13:10:41,-8 days +12:18:13.249388,True,True
bêardz,200844049,70,1,2023-11-03 11:21:59,-1 days +10:29:31.249388,True,True
capriestsunn,200426024,70,5,2023-11-02 14:08:25,-2 days +13:15:57.249388,True,True
darknthicc,201205023,70,11,2023-11-03 10:39:47,-1 days +09:47:19.249388,True,True
darknès,201148682,70,7,2023-11-03 10:43:20,-1 days +09:50:52.249388,True,True
dcfnight,201078564,70,6,2023-10-22 03:37:56,-13 days +02:45:28.249388,True,True
dearheart,203809704,70,8,2023-11-03 16:54:19,-1 days +16:01:51.249388,True,True
demonichoe,202004766,70,12,2023-10-19 10:28:59,-16 days +09:36:31.249388,True,True
detoxs,202805634,70,8,2023-11-01 09:19:55,-3 days +08:27:27.249388,True,True
dingboy,178944450,70,5,2023-11-03 18:00:24,-1 days +17:07:56.249388,True,True
dingbubble,201016079,70,2,2023-11-03 12:39:07,-1 days +11:46:39.249388,True,True
dinggirl,198798986,70,8,2023-11-02 04:22:52,-2 days +03:30:24.249388,True,True
dingkin,183568507,70,11,2023-10-27 04:49:32,-8 days +03:57:04.249388,True,True
dingology,183151072,70,9,2023-11-02 04:24:07,-2 days +03:31:39.249388,True,True
dingplague,183206036,70,6,2023-11-02 14:08:36,-2 days +13:16:08.249388,True,True
dingstorm,200977657,70,1,2023-10-27 04:43:43,-8 days +03:51:15.249388,True,True
dtox,199072172,70,10,2023-10-31 09:00:18,-4 days +08:07:50.249388,True,True
dtoxs,199436178,70,3,2023-10-31 09:52:48,-4 days +09:00:20.249388,True,True
dtx,203528578,70,1,2023-10-31 09:51:21,-4 days +08:58:53.249388,True,True
eesob,199104812,70,3,2023-11-02 00:27:38,-3 days +23:35:10.249388,True,True
eesod,202375180,70,6,2023-11-02 08:23:52,-2 days +07:31:24.249388,True,True
eesoh,199516809,70,5,2023-11-02 04:18:49,-2 days +03:26:21.249388,True,True
eesop,199701542,70,2,2023-11-02 05:00:29,-2 days +04:08:01.249388,True,True
eesow,179314059,70,10,2023-11-02 09:42:52,-2 days +08:50:24.249388,True,True
enosslas,181306667,70,3,2023-11-03 16:40:00,-1 days +15:47:32.249388,True,True
extraineous,200591726,70,1,2023-10-24 13:35:29,-11 days +12:43:01.249388,True,True
